request,total_ms,vision_ms,inference_ms
0,178.789185,133.704941,39.149883
1,86.457375,42.486118,41.365299
2,67.096527,36.631786,28.406298
3,66.562836,36.591244,28.333220
4,66.433105,36.570465,28.319885
5,66.636307,36.599007,28.390348
6,66.607834,36.589527,28.348047
7,66.454735,36.576942,28.327700
8,66.551216,36.595448,28.347557
9,66.453728,36.559944,28.320307
10,66.700729,36.634796,28.410957
11,66.558350,36.572617,28.348181
12,66.550850,36.582954,28.359221
13,66.559814,36.595299,28.344711
14,66.474091,36.569721,28.330135
15,66.502419,36.583015,28.318142
16,66.514290,36.583279,28.332748
17,66.979057,36.675598,28.439472
18,66.753883,36.641815,28.352257
19,66.559906,36.588535,28.329824
20,68.027512,37.863800,28.390259
21,66.766563,36.638905,28.384377
22,66.604530,36.600773,28.370792
23,66.604797,36.596191,28.342419
24,66.493805,36.579239,28.331448
25,66.505142,36.592091,28.341606
26,66.476837,36.585751,28.325726
27,66.514961,36.593204,28.336006
28,66.480957,36.604988,28.335886
29,66.495987,36.589668,28.340355
30,66.484520,36.578960,28.327221
31,66.921181,36.715305,28.449961
32,66.837059,36.639439,28.404976
33,66.621231,36.581776,28.367556
34,66.524033,36.604687,28.346886
35,66.894623,36.579933,28.373306
36,66.656181,36.602531,28.375128
37,66.545631,36.575905,28.366264
38,66.491989,36.569382,28.342169
39,66.484024,36.563873,28.340614
40,66.643112,36.606838,28.379759
41,66.623032,36.590714,28.375959
42,66.532867,36.583229,28.339031
43,66.512596,36.591843,28.338261
44,66.485779,36.573830,28.313105
45,66.544975,36.624756,28.333200
46,66.572136,36.640457,28.337318
47,66.535385,36.629333,28.328320
48,66.576813,36.656551,28.331266
49,66.563789,36.631496,28.323912
50,66.500389,36.587605,28.334824
